"","X","age","voted","party","registered","method_vote"
"64",64,58,"yes","Democrat","Yes","Voted by mail or absentee"
"65",65,81,"yes","Independent","Yes","In person on election day"
"66",66,71,"yes","Republican","Yes","Voted by mail or absentee"
"67",67,69,"yes","Democrat","Yes","Voted by mail or absentee"
"68",68,61,"yes","Democrat","Yes","In person on election day"
"69",69,59,"yes","Democrat","Yes","In person early"
"70",70,46,"no","Democrat","Yes","Dontknow_skipped_notasked"
"71",71,71,"yes","Democrat","Yes","In person on election day"
"72",72,67,"yes","Democrat","Yes","In person on election day"
"73",73,92,"yes","Republican","Yes","In person early"
"74",74,57,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"75",75,78,"yes","Republican","Yes","Voted by mail or absentee"
"76",76,60,"yes","Republican","Yes","Voted by mail or absentee"
"77",77,63,"yes","Independent","Yes","In person on election day"
"78",78,80,"yes","Independent","Yes","Voted by mail or absentee"
"79",79,65,"yes","Independent","Yes","In person on election day"
"80",80,66,"yes","Republican","Yes","In person on election day"
"81",81,58,"no","Independent","Yes","Dontknow_skipped_notasked"
"82",82,74,"yes","Republican","Yes","In person on election day"
"83",83,24,"yes","Democrat","Yes","Voted by mail or absentee"
"84",84,73,"yes","Republican","Yes","In person on election day"
"85",85,53,"yes","Democrat","Yes","In person on election day"
"86",86,49,"yes","Republican","Yes","In person on election day"
"87",87,74,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"88",88,76,"yes","Republican","Yes","Voted by mail or absentee"
"89",89,82,"yes","Republican","Yes","In person on election day"
"90",90,65,"NAorMissing","NAorMissing","Yes","Dontknow_skipped_notasked"
"91",91,79,"yes","Democrat","Yes","Voted by mail or absentee"
"92",92,86,"yes","Republican","Yes","In person on election day"
"93",93,60,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"94",94,55,"yes","Independent","Yes","In person on election day"
"95",95,79,"yes","Republican","Yes","In person on election day"
"96",96,85,"yes","Republican","Yes","Voted by mail or absentee"
"97",97,45,"yes","Democrat","Yes","In person on election day"
"98",98,70,"yes","Democrat","Yes","In person early"
"99",99,61,"yes","Republican","Yes","In person on election day"
"100",100,75,"yes","Democrat","Yes","In person early"
"101",101,70,"yes","Independent","Yes","Voted by mail or absentee"
"102",102,73,"yes","Independent","Yes","In person on election day"
"103",103,48,"yes","Independent","Yes","In person early"
"104",104,71,"yes","Republican","Yes","Voted by mail or absentee"
"105",105,64,"yes","Democrat","Yes","In person on election day"
"106",106,84,"yes","NAorMissing","Yes","In person early"
"107",107,75,"yes","Republican","Yes","In person on election day"
"108",108,72,"yes","Independent","Yes","In person early"
"109",109,75,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"110",110,85,"yes","Republican","Yes","In person on election day"
"111",111,82,"yes","Republican","Yes","Voted by mail or absentee"
"112",112,55,"yes","Democrat","Yes","In person on election day"
"113",113,76,"yes","Republican","Yes","Voted by mail or absentee"
"114",114,77,"yes","Republican","Yes","In person on election day"
"115",115,49,"yes","Republican","Yes","In person on election day"
"116",116,44,"yes","Republican","Yes","In person on election day"
"117",117,71,"yes","Republican","Yes","Voted by mail or absentee"
"118",118,73,"yes","Democrat","Yes","In person on election day"
"119",119,54,"yes","Independent","Yes","Dontknow_skipped_notasked"
"120",120,45,"yes","Republican","Yes","In person on election day"
"121",121,67,"yes","Independent","Yes","Voted by mail or absentee"
"122",122,27,"yes","Democrat","Yes","In person on election day"
"123",123,71,"yes","Republican","Yes","Voted by mail or absentee"
"124",124,53,"yes","Democrat","Yes","Voted by mail or absentee"
"125",125,57,"yes","Republican","Yes","In person early"
"126",126,40,"yes","Republican","Yes","In person on election day"
"127",127,70,"yes","Democrat","Yes","Voted by mail or absentee"
"128",128,64,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"129",129,58,"yes","Independent","Yes","In person early"
"130",130,72,"yes","Republican","Yes","In person on election day"
"131",131,57,"yes","Democrat","Yes","In person early"
"132",132,71,"yes","Republican","Yes","In person on election day"
"133",133,81,"yes","Republican","Yes","In person on election day"
"134",134,72,"yes","Democrat","Yes","In person on election day"
"135",135,64,"yes","Republican","Yes","In person on election day"
"136",136,75,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"137",137,71,"yes","Democrat","Yes","In person early"
"138",138,64,"yes","Democrat","Yes","In person early"
"139",139,76,"yes","Democrat","Yes","In person on election day"
"140",140,85,"yes","Republican","Yes","Voted by mail or absentee"
"141",141,86,"yes","Republican","Yes","Voted by mail or absentee"
"142",142,80,"yes","Republican","Yes","Voted by mail or absentee"
"143",143,71,"yes","Democrat","Yes","In person early"
"144",144,72,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"145",145,70,"yes","Democrat","Yes","Voted by mail or absentee"
"146",146,56,"yes","Democrat","Yes","Voted by mail or absentee"
"147",147,67,"yes","Democrat","Yes","In person early"
"148",148,49,"yes","Democrat","Yes","Voted by mail or absentee"
"149",149,51,"yes","Independent","Yes","Voted by mail or absentee"
"150",150,57,"yes","Independent","Yes","In person on election day"
"151",151,73,"yes","Democrat","Yes","Voted by mail or absentee"
"152",152,55,"yes","Democrat","Yes","In person early"
"153",153,62,"yes","Democrat","Yes","In person on election day"
"154",154,72,"yes","Democrat","Yes","In person early"
"155",155,75,"yes","Democrat","Yes","Voted by mail or absentee"
"156",156,74,"yes","Republican","Yes","Voted by mail or absentee"
"157",157,44,"yes","Independent","Yes","In person on election day"
"158",158,78,"yes","Republican","Yes","In person on election day"
"159",159,55,"yes","Democrat","Yes","In person on election day"
"160",160,70,"yes","Independent","Yes","Voted by mail or absentee"
"161",161,70,"yes","Democrat","Yes","Voted by mail or absentee"
"162",162,74,"yes","Democrat","Yes","In person on election day"
"163",163,77,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"164",164,64,"yes","Democrat","Yes","In person early"
"165",165,69,"yes","Republican","Yes","In person on election day"
"166",166,60,"yes","Democrat","Yes","In person on election day"
"167",167,45,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"168",168,64,"yes","Democrat","Yes","In person early"
"169",169,74,"yes","Democrat","Yes","In person on election day"
"170",170,54,"yes","Independent","Yes","In person on election day"
"171",171,54,"yes","Independent","Yes","In person on election day"
"172",172,74,"yes","Democrat","Yes","In person on election day"
"173",173,55,"yes","Republican","Yes","Voted by mail or absentee"
"174",174,73,"yes","Democrat","Yes","In person early"
"175",175,70,"yes","Democrat","Yes","In person early"
"176",176,67,"yes","Independent","Yes","Voted by mail or absentee"
"177",177,55,"yes","Republican","Yes","Voted by mail or absentee"
"178",178,53,"yes","Independent","Yes","In person on election day"
"179",179,65,"yes","Republican","Yes","Voted by mail or absentee"
"180",180,82,"yes","Democrat","Yes","Voted by mail or absentee"
"181",181,67,"yes","Democrat","Yes","Voted by mail or absentee"
"182",182,56,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"183",183,43,"yes","Independent","Yes","Voted by mail or absentee"
"184",184,80,"yes","Independent","Yes","Voted by mail or absentee"
"185",185,67,"yes","Republican","Yes","Voted by mail or absentee"
"186",186,68,"yes","Democrat","Yes","In person on election day"
"187",187,83,"yes","Republican","Yes","Voted by mail or absentee"
"188",188,80,"yes","Independent","Yes","In person on election day"
"189",189,71,"yes","Republican","Yes","In person on election day"
"190",190,70,"yes","Democrat","Yes","In person on election day"
"191",191,68,"yes","Independent","Yes","Voted by mail or absentee"
"192",192,79,"yes","Independent","Yes","Voted by mail or absentee"
"193",193,48,"yes","Independent","Yes","In person on election day"
"194",194,72,"yes","Democrat","Yes","In person on election day"
"195",195,67,"yes","Republican","Yes","In person on election day"
"196",196,70,"yes","Democrat","Yes","Voted by mail or absentee"
"197",197,68,"yes","Republican","Yes","In person on election day"
"198",198,47,"yes","Republican","Yes","Voted by mail or absentee"
"199",199,64,"yes","Republican","Yes","In person on election day"
"200",200,61,"yes","Democrat","Yes","Voted by mail or absentee"
"201",201,72,"yes","Democrat","Yes","Voted by mail or absentee"
"202",202,78,"yes","Republican","Yes","In person on election day"
"203",203,45,"yes","Republican","Yes","In person on election day"
"204",204,63,"yes","Democrat","Yes","In person on election day"
"205",205,51,"yes","Independent","Yes","In person on election day"
"206",206,81,"yes","Democrat","Yes","In person on election day"
"207",207,35,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"208",208,64,"yes","Independent","Yes","In person on election day"
"209",209,85,"yes","Republican","Yes","Voted by mail or absentee"
"210",210,81,"yes","Republican","Yes","In person on election day"
"211",211,79,"yes","Republican","Yes","In person on election day"
"212",212,73,"yes","Republican","Yes","In person early"
"213",213,60,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"214",214,41,"yes","Republican","Yes","In person on election day"
"215",215,71,"yes","Democrat","Yes","In person on election day"
"216",216,77,"yes","Democrat","Yes","In person early"
"217",217,73,"yes","Republican","Yes","Voted by mail or absentee"
"218",218,70,"yes","Independent","Yes","In person on election day"
"219",219,70,"yes","Republican","Yes","In person early"
"220",220,59,"yes","Republican","Yes","In person on election day"
"221",221,79,"yes","Republican","Yes","Voted by mail or absentee"
"222",222,55,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"223",223,69,"yes","Independent","Yes","In person on election day"
"224",224,90,"yes","Independent","Yes","In person on election day"
"225",225,76,"yes","Republican","Yes","In person on election day"
"226",226,66,"yes","Republican","Yes","Voted by mail or absentee"
"227",227,69,"yes","Democrat","Yes","In person early"
"228",228,67,"yes","Republican","Yes","In person on election day"
"229",229,70,"yes","Democrat","Yes","Voted by mail or absentee"
"230",230,42,"yes","Democrat","Yes","In person on election day"
"231",231,73,"yes","Republican","Yes","In person early"
"232",232,66,"yes","Democrat","Yes","In person on election day"
"233",233,72,"yes","Democrat","Yes","In person early"
"234",234,77,"yes","Republican","Yes","In person on election day"
"235",235,62,"yes","Democrat","Yes","In person on election day"
"236",236,60,"yes","Republican","Yes","In person on election day"
"237",237,60,"yes","Democrat","Yes","Voted by mail or absentee"
"238",238,63,"yes","Democrat","Yes","In person early"
"239",239,63,"yes","Republican","Yes","In person on election day"
"240",240,80,"yes","Democrat","Yes","In person on election day"
"241",241,75,"yes","Republican","Yes","In person early"
"242",242,47,"yes","Republican","Yes","In person on election day"
"243",243,60,"yes","Republican","Yes","Voted by mail or absentee"
"244",244,74,"yes","Independent","Yes","In person on election day"
"245",245,81,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"246",246,45,"yes","Independent","Yes","In person on election day"
"247",247,71,"yes","Democrat","Yes","In person early"
"248",248,70,"yes","Republican","Yes","In person on election day"
"249",249,74,"yes","Republican","Yes","In person on election day"
"250",250,60,"yes","Democrat","Yes","In person on election day"
"251",251,71,"yes","Independent","Yes","In person on election day"
"252",252,69,"yes","Independent","Yes","Voted by mail or absentee"
"253",253,70,"yes","Republican","Yes","In person early"
"254",254,80,"yes","Independent","Yes","In person early"
"255",255,46,"yes","Republican","Yes","In person on election day"
"256",256,81,"yes","Republican","Yes","Voted by mail or absentee"
"257",257,64,"yes","Republican","Yes","Voted by mail or absentee"
"258",258,71,"yes","Republican","Yes","In person on election day"
"259",259,74,"yes","Republican","Yes","In person early"
"260",260,63,"yes","Democrat","Yes","Voted by mail or absentee"
"261",261,72,"yes","Republican","Yes","In person on election day"
"262",262,74,"yes","Democrat","Yes","In person early"
"263",263,72,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"264",264,89,"yes","Independent","Yes","Voted by mail or absentee"
"265",265,70,"yes","Republican","Yes","In person on election day"
"266",266,55,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"267",267,56,"yes","Independent","Yes","In person on election day"
"268",268,70,"yes","Republican","Yes","Voted by mail or absentee"
"269",269,64,"yes","Republican","Yes","In person on election day"
"270",270,76,"yes","Republican","Yes","In person on election day"
"271",271,59,"yes","Democrat","Yes","In person early"
"272",272,79,"yes","Independent","Yes","In person on election day"
"273",273,65,"yes","Democrat","Yes","In person on election day"
"274",274,62,"yes","Democrat","Yes","Voted by mail or absentee"
"275",275,76,"yes","Independent","Yes","In person early"
"276",276,74,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"277",277,86,"yes","Democrat","Yes","Voted by mail or absentee"
"278",278,50,"yes","Republican","Yes","In person on election day"
"279",279,54,"yes","Democrat","Yes","Voted by mail or absentee"
"280",280,69,"yes","Democrat","Yes","In person on election day"
"281",281,73,"yes","Republican","Yes","In person early"
"282",282,84,"yes","Republican","Yes","In person on election day"
"283",283,81,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"284",284,46,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"285",285,61,"yes","Democrat","Yes","Voted by mail or absentee"
"286",286,57,"yes","Republican","Yes","In person early"
"287",287,72,"yes","Democrat","Yes","In person early"
"288",288,69,"yes","Independent","Yes","Voted by mail or absentee"
"289",289,76,"yes","Independent","Yes","Voted by mail or absentee"
"290",290,64,"yes","Democrat","Yes","In person early"
"291",291,54,"yes","Independent","Yes","In person on election day"
"292",292,70,"yes","Republican","Yes","In person on election day"
"293",293,56,"yes","Republican","Yes","In person on election day"
"294",294,66,"yes","Democrat","Yes","In person on election day"
"295",295,63,"yes","Independent","Yes","Voted by mail or absentee"
"296",296,68,"yes","Independent","Yes","In person on election day"
"297",297,52,"yes","Independent","Yes","In person on election day"
"298",298,74,"yes","Independent","Yes","In person on election day"
"299",299,56,"yes","Independent","Yes","In person on election day"
"300",300,73,"yes","Independent","Yes","In person on election day"
"301",301,62,"yes","Democrat","Yes","In person early"
"302",302,68,"yes","Democrat","Yes","In person on election day"
"303",303,60,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"304",304,74,"yes","Republican","Yes","In person on election day"
"305",305,59,"yes","Republican","Yes","In person on election day"
"306",306,81,"yes","Democrat","Yes","Voted by mail or absentee"
"307",307,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"308",308,53,"yes","Independent","Yes","Voted by mail or absentee"
"309",309,76,"yes","Democrat","Yes","Voted by mail or absentee"
"310",310,66,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"311",311,75,"yes","Republican","Yes","In person on election day"
"312",312,71,"yes","Democrat","Yes","Voted by mail or absentee"
"313",313,66,"yes","Republican","Yes","In person on election day"
"314",314,52,"yes","Republican","Yes","In person on election day"
"315",315,86,"yes","Independent","Yes","Voted by mail or absentee"
"316",316,90,"yes","Independent","Yes","In person on election day"
"317",317,78,"yes","Democrat","Yes","In person early"
"318",318,79,"yes","Republican","Yes","In person on election day"
"319",319,49,"yes","Republican","Yes","In person on election day"
"320",320,84,"yes","Democrat","Yes","In person early"
"321",321,53,"yes","Democrat","Yes","Voted by mail or absentee"
"322",322,80,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"323",323,92,"yes","Republican","Yes","Voted by mail or absentee"
"324",324,70,"yes","Republican","Yes","In person on election day"
"325",325,79,"yes","Republican","Yes","In person on election day"
"326",326,62,"yes","Democrat","Yes","Voted by mail or absentee"
"327",327,66,"yes","Democrat","Yes","In person on election day"
"328",328,57,"yes","Independent","Yes","In person on election day"
"329",329,66,"yes","Republican","Yes","In person on election day"
"330",330,72,"yes","Republican","Yes","In person on election day"
"331",331,56,"yes","Independent","Yes","In person on election day"
"332",332,68,"yes","Republican","Yes","In person on election day"
"333",333,48,"yes","Independent","Yes","In person on election day"
"334",334,70,"yes","Republican","Yes","In person on election day"
"335",335,63,"yes","Republican","Yes","In person on election day"
"336",336,44,"yes","Democrat","Yes","In person on election day"
"337",337,54,"yes","Democrat","Yes","In person early"
"338",338,78,"yes","Republican","Yes","Voted by mail or absentee"
"339",339,63,"yes","Democrat","Yes","In person on election day"
"340",340,70,"yes","Republican","Yes","In person on election day"
"341",341,68,"yes","Democrat","Yes","In person early"
"342",342,79,"yes","Republican","Yes","Voted by mail or absentee"
"343",343,67,"yes","Republican","Yes","In person on election day"
"344",344,61,"yes","Democrat","Yes","In person early"
"345",345,57,"yes","Republican","Yes","In person on election day"
"346",346,53,"no","Independent","Yes","Dontknow_skipped_notasked"
"347",347,63,"yes","Independent","Yes","Voted by mail or absentee"
"348",348,81,"yes","Democrat","Yes","Voted by mail or absentee"
"349",349,64,"yes","Democrat","Yes","In person early"
"350",350,79,"yes","Democrat","Yes","Voted by mail or absentee"
"351",351,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"352",352,85,"yes","Republican","Yes","Voted by mail or absentee"
"353",353,61,"yes","Democrat","Yes","Voted by mail or absentee"
"354",354,46,"yes","Democrat","Yes","In person on election day"
"355",355,68,"yes","Republican","Yes","In person on election day"
"356",356,88,"yes","Democrat","Yes","In person on election day"
"357",357,90,"yes","Independent","Yes","In person on election day"
"358",358,64,"yes","Democrat","Yes","In person early"
"359",359,57,"yes","Democrat","Yes","In person on election day"
"360",360,41,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"361",361,78,"yes","Republican","Yes","Voted by mail or absentee"
"362",362,32,"yes","Democrat","Yes","In person on election day"
"363",363,60,"yes","Democrat","Yes","In person on election day"
"364",364,67,"yes","Democrat","Yes","Voted by mail or absentee"
"365",365,64,"yes","Democrat","Yes","Voted by mail or absentee"
"366",366,63,"yes","Republican","Yes","In person on election day"
"367",367,77,"yes","Republican","Yes","In person early"
"368",368,51,"yes","Republican","Yes","In person on election day"
"369",369,57,"yes","Democrat","Yes","In person early"
"370",370,54,"yes","Democrat","Yes","Voted by mail or absentee"
"371",371,69,"yes","Independent","Yes","Voted by mail or absentee"
"372",372,68,"yes","Democrat","Yes","Voted by mail or absentee"
"373",373,35,"yes","Democrat","Yes","In person on election day"
"374",374,69,"yes","Democrat","Yes","Voted by mail or absentee"
"375",375,59,"yes","Republican","Yes","In person on election day"
"376",376,52,"yes","Independent","Yes","In person early"
"377",377,67,"yes","Democrat","Yes","In person on election day"
"378",378,75,"yes","Independent","Yes","In person early"
"379",379,31,"yes","Democrat","Yes","In person on election day"
"380",380,65,"yes","Democrat","Yes","In person early"
"381",381,49,"yes","Democrat","Yes","In person on election day"
"382",382,57,"yes","Democrat","Yes","In person early"
"383",383,81,"yes","Independent","Yes","In person on election day"
"384",384,63,"yes","Republican","Yes","In person on election day"
"385",385,65,"yes","Republican","Yes","In person on election day"
"386",386,58,"yes","Republican","Yes","In person on election day"
"387",387,54,"yes","Democrat","Yes","In person early"
"388",388,35,"yes","Democrat","Yes","In person on election day"
"389",389,38,"yes","Democrat","Yes","In person on election day"
"390",390,74,"yes","Republican","Yes","In person on election day"
"391",391,72,"yes","Republican","Yes","Voted by mail or absentee"
"392",392,65,"no","Independent","Yes","Dontknow_skipped_notasked"
"393",393,58,"yes","Democrat","Yes","Voted by mail or absentee"
"394",394,38,"yes","Democrat","Yes","In person early"
"395",395,72,"yes","Republican","Yes","Voted by mail or absentee"
"396",396,58,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"397",397,65,"yes","Republican","Yes","In person early"
"398",398,57,"yes","Democrat","Yes","In person on election day"
"399",399,66,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"400",400,81,"yes","Democrat","Yes","In person early"
"401",401,55,"yes","Republican","Yes","In person on election day"
"402",402,72,"yes","Independent","Yes","In person on election day"
"403",403,80,"yes","Democrat","Yes","Voted by mail or absentee"
"404",404,55,"yes","NAorMissing","No","Voted by mail or absentee"
"405",405,64,"yes","Democrat","Yes","In person on election day"
"406",406,55,"yes","Independent","Yes","Voted by mail or absentee"
"407",407,72,"yes","Independent","Yes","In person early"
"408",408,58,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"409",409,79,"yes","Republican","Yes","In person on election day"
"410",410,90,"yes","Republican","Yes","In person on election day"
"411",411,82,"yes","Independent","Yes","In person early"
"412",412,70,"yes","Democrat","Yes","In person on election day"
"413",413,65,"yes","Independent","Yes","In person on election day"
"414",414,68,"yes","Independent","Yes","In person on election day"
"415",415,81,"yes","Republican","Yes","In person early"
"416",416,46,"yes","Democrat","Yes","Voted by mail or absentee"
"417",417,51,"yes","Republican","Yes","In person on election day"
"418",418,67,"yes","Democrat","Yes","In person early"
"419",419,60,"yes","Republican","Yes","In person on election day"
"420",420,39,"no","Independent","Yes","Dontknow_skipped_notasked"
"421",421,65,"yes","Democrat","Yes","Voted by mail or absentee"
"422",422,39,"yes","Republican","Yes","In person on election day"
"423",423,60,"yes","Democrat","Yes","In person early"
"424",424,63,"yes","Republican","Yes","Voted by mail or absentee"
"425",425,23,"yes","Democrat","Yes","Voted by mail or absentee"
"426",426,60,"yes","Republican","Yes","In person on election day"
"427",427,77,"yes","Independent","Yes","In person on election day"
"428",428,83,"yes","Democrat","Yes","Voted by mail or absentee"
"429",429,63,"yes","Republican","Yes","In person on election day"
"430",430,64,"yes","Republican","Yes","In person on election day"
"431",431,68,"yes","Democrat","Yes","In person early"
"432",432,49,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"433",433,39,"yes","Independent","Yes","Voted by mail or absentee"
"434",434,60,"yes","Democrat","Yes","In person on election day"
"435",435,60,"yes","Democrat","Yes","In person early"
"436",436,63,"yes","Republican","Yes","In person on election day"
"437",437,64,"yes","Republican","Yes","In person on election day"
"438",438,47,"yes","Republican","Yes","In person on election day"
"439",439,37,"yes","Independent","Yes","In person on election day"
"440",440,64,"yes","Independent","Yes","In person on election day"
"441",441,59,"yes","Independent","Yes","In person on election day"
"442",442,48,"yes","Republican","Yes","In person on election day"
"443",443,58,"yes","Republican","Yes","In person early"
"444",444,67,"yes","Republican","Yes","In person on election day"
"445",445,62,"yes","Republican","Yes","In person on election day"
"446",446,65,"yes","Republican","Yes","In person early"
"447",447,64,"yes","Democrat","Yes","Voted by mail or absentee"
"448",448,67,"yes","Republican","Yes","In person on election day"
"449",449,76,"yes","Democrat","Yes","In person on election day"
"450",450,66,"yes","Republican","Yes","In person on election day"
"451",451,50,"yes","Republican","Yes","In person on election day"
"452",452,63,"yes","Republican","Yes","Voted by mail or absentee"
"453",453,52,"yes","Republican","Yes","In person on election day"
"454",454,65,"yes","Independent","Yes","Voted by mail or absentee"
"455",455,49,"yes","Democrat","Yes","In person on election day"
"456",456,64,"yes","Independent","Yes","Voted by mail or absentee"
"457",457,44,"yes","Republican","Yes","In person on election day"
"458",458,36,"yes","Independent","Yes","In person on election day"
"459",459,68,"yes","Republican","Yes","Voted by mail or absentee"
"460",460,44,"yes","Republican","Yes","In person on election day"
"461",461,35,"yes","Republican","Yes","In person on election day"
"462",462,58,"yes","Democrat","Yes","In person early"
"463",463,87,"yes","Democrat","Yes","Voted by mail or absentee"
"464",464,76,"yes","Democrat","Yes","In person on election day"
"465",465,69,"yes","Democrat","Yes","In person early"
"466",466,68,"yes","Democrat","Yes","Voted by mail or absentee"
"467",467,80,"yes","Republican","Yes","In person on election day"
"468",468,68,"yes","Republican","Yes","In person early"
"469",469,65,"yes","Republican","Yes","Voted by mail or absentee"
"470",470,61,"yes","Republican","Yes","Voted by mail or absentee"
"471",471,61,"yes","Republican","Yes","In person on election day"
"472",472,35,"yes","Republican","Yes","In person on election day"
"473",473,28,"yes","Democrat","Yes","In person early"
"474",474,59,"yes","Democrat","Yes","In person on election day"
"475",475,65,"yes","Republican","Yes","In person on election day"
"476",476,70,"yes","Republican","Yes","In person early"
"477",477,65,"yes","Republican","Yes","In person on election day"
"478",478,47,"yes","Independent","Yes","In person on election day"
"479",479,56,"yes","Democrat","Yes","In person early"
"480",480,58,"yes","Independent","Yes","In person early"
"481",481,48,"yes","Republican","Yes","In person on election day"
"482",482,35,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"483",483,48,"yes","Democrat","Yes","Voted by mail or absentee"
"484",484,56,"yes","Democrat","Yes","In person on election day"
"485",485,56,"yes","Independent","Yes","In person on election day"
"486",486,70,"yes","Democrat","Yes","In person early"
"487",487,57,"yes","Republican","Yes","In person early"
"488",488,62,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"489",489,47,"yes","Democrat","Yes","In person on election day"
"490",490,45,"yes","Independent","Yes","In person on election day"
